dedede	PIRIKA	15853.53.0	Axioo Chromebook P14
dedede	PIRIKA	15853.53.0	CTL Chromebook Enterprise/PX14E/PX14EX/PX14EXT
dedede	PIRIKA	15853.53.0	Gateway Chromebook 14
dedede	SASUKE	15853.53.0	Galaxy Chromebook Go
dedede	SASUKETTE	15853.53.0	Galaxy Chromebook Go 11
dedede	STORO	15853.53.0	ASUS Chromebook CR1100CKA
dedede	STORO360	15853.53.0	ASUS Chromebook Flip CR1100FKA
dedede	TARANZA	15853.53.0	ASUS Fanless Chromebox CF40, ASUS Fanless Chromebox Enterprise CF40
drallion	DRALLION	15853.53.0	Dell Latitude 7410 Chromebook Enterprise
drallion	DRALLION360	15853.53.0	Dell Latitude 7410 Chromebook Enterprise
edgar	EDGAR	14816.131.0	Acer Chromebook 14 (CB3-431)
elm	ELM	15823.40.0	Acer Chromebook R13 (CB5-312T)
enguarde	ENGUARDE	14092.77.0	ASI Chromebook
enguarde	ENGUARDE	14092.77.0	Crambo Chromebook
enguarde	ENGUARDE	14092.77.0	CTL N6 Education Chromebook
enguarde	ENGUARDE	14092.77.0	Education Chromebook
enguarde	ENGUARDE	14092.77.0	eduGear Chromebook R
enguarde	ENGUARDE	14092.77.0	Edxis Education Chromebook (NL6)
enguarde	ENGUARDE	14092.77.0	JP Sa Couto Chromebook
enguarde	ENGUARDE	14092.77.0	Lenovo N21 Chromebook
enguarde	ENGUARDE	14092.77.0	M&A Chromebook
enguarde	ENGUARDE	14092.77.0	RGS Education Chromebook
enguarde	ENGUARDE	14092.77.0	Senkatel C1101 Chromebook
enguarde	ENGUARDE	14092.77.0	True IDC Chromebook
enguarde	ENGUARDE	14092.77.0	Videonet Chromebook
eve	EVE	15823.40.0	Google Pixelbook
expresso	EXPRESSO	14092.77.0	Bobicus Chromebook 11
expresso	EXPRESSO	14092.77.0	Consumer Chromebook
expresso	EXPRESSO	14092.77.0	Edxis Chromebook
expresso	EXPRESSO	14092.77.0	HEXA Chromebook Pi
falco	FALCO	12239.92.0	HP Chromebook 14 q000-q099 / HP Chromebook 14-SMB Atheros
falco-li	FALCO	12239.92.0	HP Chromebook 14 q000-q099 WP2 / HP Chromebook 14-SMB Intel Corp
fizz	JAX	15853.53.0	AOpen Chromebox Commercial 2
fizz	JAX	15853.53.0	Newline Chromebox A10
fizz	KENCH	15853.53.0	HP Chromebox G2
fizz	SION	15853.53.0	Acer Chromebox CXI3
fizz	TEEMO	15853.53.0	ASUS Chromebox 3 (CN65)
fizz	WUKONG	15853.53.0	CTL Chromebox CBx1
fizz	WUKONG	15853.53.0	OWG
fizz	WUKONG	15853.53.0	Promethean Chromebox
fizz	WUKONG	15853.53.0	SMART Chromebox G3
fizz	WUKONG	15853.53.0	ViewSonic NMP660 Chromebox
gandof	GANDOF	13904.77.0	Toshiba Chromebook 2 (2015 Edition)
glimmer	GLIMMER	12239.92.0	Lenovo ThinkPad 11e Chromebook
gnawty	GNAWTY	14092.77.0	Acer Chromebook 11 (CB3-111, C730, C730E)
gnawty	GNAWTY	14092.77.0	Acer Chromebook 11 (CB3-131, C735)
grunt	ALEENA	15853.53.0	Acer Chromebook 315 (CB315-2H)
grunt	BARLA	15853.53.0	HP Chromebook 11A G6 EE/ HP Chromebook 11A G8 EE
grunt	CAREENA	15853.53.0	HP Chromebook 14-db0/HP Chromebook 14A G5
grunt	Duplicate	15853.53.0	HP Chromebook 11A G6 EE / HP Chromebook 11A G8 EE
grunt	KASUMI	15853.53.0	Acer Chromebook 311 (C721)
grunt	KASUMI360	15853.53.0	Acer Chromebook Spin 311 (R721T)
grunt	LIARA	15853.53.0	Lenovo 14e Chromebook, Lenovo Chromebook S345-14
grunt	TREEYA	15853.53.0	100e Gen 2 AST
grunt	TREEYA	15853.53.0	IdeaPad 3 Chromebook (11", 5)
grunt	TREEYA360	15853.53.0	Lenovo 300e Gen 2 AST
grunt	TREEYA360	15853.53.0	NEC Chromebook Y1 Gen2A
guado	GUADO	13729.56.0	ASUS Chromebox 2 (CN62)
guybrush	DEWATT	15853.53.0	Acer Chromebook Spin 514 [CP514-3H, CP514-3HH, CP514-3WH]
guybrush	NIPPERKIN	15853.53.0	HP Elite c645 G2 Chromebook
hana	HANA	15823.40.0	Lenovo 300e/N23 Yoga/Flex 11 Chromebook
hana	HANA	15823.40.0	Poin2 Chromebook 11C
hana	HANA	15823.40.0	Prowise Chromebook Eduline / Prowise Chromebook Eduline 360
hana	HANA	15853.53.0	ASUS Chromebook C202XA / C203XA
hana	HANA	15853.53.0	Lenovo 100e Chromebook 2nd Gen MTK
hana	HANA	15853.53.0	Lenovo 300e Chromebook 2nd Gen MTK
hana	HANA	15853.53.0	Lenovo Ideapad C330 Chromebook
hana	HANA	15853.53.0	Lenovo Ideapad S330 Chromebook
hana	HANA	15853.53.0	Poin2 Chromebook 14
hatch	AKEMI	15853.53.0	IdeaPad Flex 5i Chromebook (13", 5)
hatch	DRAGONAIR	15853.53.0	Chromebook x360 14c-ca0
hatch	DRATINI	15853.53.0	HP Pro c640 Chromebook/HP Pro c640 Chromebook Enterprise
hatch	HELIOS	15853.53.0	ASUS Chromebook Flip C436FA
hatch	JINLON	15853.53.0	Chromebook x360 13c-ca0
hatch	KINDRED	15853.53.0	Acer Chromebook 712 [C871]
hatch	KLED	15853.53.0	Acer Chromebook Spin 713 (CP713-2W)
hatch	KOHAKU	15853.53.0	Samsung Galaxy Chromebook
hatch	NIGHTFURY	15853.53.0	Samsung Galaxy Chromebook 2
heli	HELI	14092.77.0	Haier Chromebook 11 G2
jacuzzi	BURNET	15853.53.0	HP Chromebook x360 11MK G3 EE
jacuzzi	COZMO	15853.53.0	Acer Chromebook  314 (CB314-2H/CB314-2HT)
jacuzzi	DAMU	15853.53.0	ASUS Chromebook Flip CM3200FVA
jacuzzi	ESCHE	15853.53.0	HP Chromebook 11MK G9 EE
jacuzzi	FENNEL14	15853.53.0	IdeaPad 3 Chromebook
jacuzzi	FENNEL	15853.53.0	IdeaPad Flex 3 Chromebook
jacuzzi	JUNIPER	15853.53.0	Acer Chromebook Spin 311 (CP311-3H)
jacuzzi	KAPPA	15853.53.0	HP Chromebook 11a na0
jacuzzi	KAPPA	15853.53.0	HP Chromebook 11a-ne0
jacuzzi	KENZO	15853.53.0	Acer Chromebook 311 (CB311-11H/CB311-11HT)
jacuzzi	MAKOMO	15853.53.0	Lenovo 100e Gen 2
jacuzzi	PICO	15853.53.0	Acer Chromebook Spin 311 - R722T
jacuzzi	WILLOW	15853.53.0	Acer Chromebook 311 (C722/C722T)
kalista	KARMA	15853.53.0	Acer Chromebase CA24I2
kefka	KEFKA	14816.131.0	Dell Chromebook 11 2-in-1 (3189)
kefka	KEFKA	14816.131.0	Dell Chromebook 11 (3180)
kevin	KEVIN	15509.81.0	Samsung Chromebook Plus
kip	KIP	14092.77.0	HP Chromebook 11 G3/G4/G4 EE
kip	KIP	14092.77.0	HP Chromebook 14 G4
kip	NO	14092.77.0	HP Chromebook 11 2100-2199 / HP Chromebook 11 G3
kukui	KAKADU	15853.53.0	ASUS Chromebook Detachable CM3
kukui	KATSU	15853.53.0	ASUS Chromebook Detachable CZ1
kukui	KODAMA	15853.53.0	Lenovo 10e Chromebook Tablet
kukui	KRANE	15853.53.0	Lenovo Chromebook Duet / Lenovo Ideapad Duet Chromebook
lars	LARS	15393.58.0	Acer Chromebook 11 (C771, C771T)
lars	LARS	15393.58.0	Acer Chromebook 14 for Work (CP5-471)
leon	LEON	12239.92.0	Toshiba Chromebook
link	LINK	10895.78.0	Google Chromebook Pixel
lulu	LULU	13904.77.0	Dell Chromebook 13 (7310)
lumpy	LUMPY	10176.76.0	Samsung Chromebook Series 5 550
mccloud	MCCLOUD	12239.92.0	Acer Chromebox
monroe	MONROE	13099.110.2	LG Chromebase (22CB25S)
monroe	MONROE	13099.110.2	LG Chromebase (22CV241)
nami	AKALI	15853.53.0	Acer Chromebook 13 (CB713-1W)
nami	AKALI360	15853.53.0	Acer Chromebook Spin 13 (CP713-1WN)
